date,1. open,2. high,3. low,4. close,5. volume
2018-12-18,38.44,40.09,38.18,39.84,394903.0
2018-12-17,41.56,41.75,38.0,38.34,370060.0
2018-12-14,41.87,42.16,41.37,41.75,206534.0
2018-12-13,42.0,42.13,41.01,41.88,229516.0
2018-12-12,42.32,43.315,41.55,41.84,188406.0
2018-12-11,41.25,43.035,41.25,41.65,263872.0
2018-12-10,42.37,42.37,40.73,41.2,370507.0
2018-12-07,45.31,46.18,42.61,42.61,314575.0
2018-12-06,43.56,45.42,42.44,45.22,215119.0
2018-12-04,46.29,46.99,44.575,45.22,300414.0
2018-12-03,45.94,46.95,45.36,46.73,220457.0
2018-11-30,45.16,45.83,43.6,44.39,153372.0
2018-11-29,44.25,46.45,43.65,45.22,299337.0
2018-11-28,45.73,45.73,41.4348,44.25,457772.0
2018-11-27,45.3,45.3,43.37,45.0,224617.0
2018-11-26,45.91,45.91,43.7732,45.06,231949.0
2018-11-23,45.8,45.94,44.39,45.79,101600.0
2018-11-21,44.56,46.985,44.12,46.34,215315.0
2018-11-20,45.76,45.76,43.38,43.83,162426.0
2018-11-19,47.09,47.24,45.5,46.6,127600.0
2018-11-16,45.96,48.195,45.95,47.46,197789.0
2018-11-15,44.64,47.01,43.6201,45.96,174504.0
2018-11-14,41.82,44.74,41.82,44.3,142640.0
2018-11-13,42.86,44.34,40.72,41.18,254463.0
2018-11-12,43.27,43.33,42.02,43.01,144106.0
2018-11-09,43.81,44.125,42.1,43.52,141517.0
2018-11-08,44.0,45.73,43.0001,43.94,217558.0
2018-11-07,45.88,46.64,43.29,43.82,272900.0
2018-11-06,46.79,48.58,45.35,45.53,156689.0
2018-11-05,47.44,48.34,46.25,46.77,163782.0
2018-11-02,48.83,48.98,46.79,48.22,266736.0
2018-11-01,45.03,49.41,45.03,48.52,528789.0
2018-10-31,43.13,44.78,41.35,44.69,427609.0
2018-10-30,41.93,43.49,41.6,43.1,120625.0
2018-10-29,43.07,43.87,41.28,41.83,415963.0
2018-10-26,41.84,42.85,41.15,42.56,270261.0
2018-10-25,39.57,42.71,39.22,42.18,582529.0
2018-10-24,38.17,40.22,38.0,39.36,433792.0
2018-10-23,37.07,38.23,36.14,38.02,575753.0
2018-10-22,38.13,38.3741,36.85,38.04,476227.0
2018-10-19,36.44,38.185,36.1501,37.43,387906.0
2018-10-18,36.98,37.96,36.08,36.28,267656.0
2018-10-17,38.52,38.61,36.76,37.39,374085.0
2018-10-16,40.12,40.68,38.7,39.05,315140.0
2018-10-15,39.61,41.75,38.57,39.65,369740.0
2018-10-12,36.8,40.72,36.8,39.78,390516.0
2018-10-11,36.3,37.2,34.0,36.14,632556.0
2018-10-10,38.6,39.195,35.71,36.19,381644.0
2018-10-09,41.39,41.68,37.5,38.75,352992.0
2018-10-08,41.68,42.5,40.45,41.42,149721.0
2018-10-05,40.95,42.2,40.35,40.96,184837.0
2018-10-04,43.1,43.1,40.3983,40.47,320971.0
2018-10-03,46.31,47.96,43.7,43.91,408054.0
2018-10-02,42.6,45.87,42.6,44.44,697208.0
2018-10-01,41.59,42.3745,39.31,42.02,602692.0
2018-09-28,43.3,43.3,39.52,41.37,823644.0
2018-09-27,47.15,47.59,43.5878,43.82,362381.0
2018-09-26,47.5,49.16,45.42,47.13,510072.0
2018-09-25,44.6,47.62,42.65,46.78,748555.0
2018-09-24,48.34,49.4165,45.82,46.71,699003.0
2018-09-21,46.47,48.7727,45.49,48.5,828420.0
2018-09-20,41.64,47.88,41.5,46.17,2621321.0
2018-09-19,39.34,41.23,39.13,41.05,1146440.0
2018-09-18,39.77,40.72,39.46,39.77,334410.0
2018-09-17,39.41,40.3,39.2,39.87,798945.0
2018-09-14,39.83,40.61,38.6104,39.35,398592.0
2018-09-13,40.63,43.39,39.3,39.69,398780.0
2018-09-12,40.04,41.155,39.75,40.53,418121.0
2018-09-11,41.15,41.4457,39.3402,40.26,531248.0
2018-09-10,42.72,43.47,41.69,41.98,276953.0
2018-09-07,44.46,44.91,41.066,42.76,460418.0
2018-09-06,41.25,46.2,41.16,44.32,714174.0
2018-09-05,36.72,42.01,36.7,40.98,790528.0
